species,higher_classification,class,order,family,IUCN,GE,uniqueness,specialization,FUSE,polygon,
Acanthocybium solandri,Fish,Actinopterygii,Perciformes,Scombridae,LC,0,0.03,0.29,0,yes,
Achoerodus gouldii,Fish,Actinopterygii,Perciformes,Labridae,VU,2,0,0.26,1.186,yes,
Acipenser baerii,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,EN,3,0.02,0.44,2.658,no,
Acipenser fulvescens,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,LC,0,0,0.39,0,no,
Acipenser gueldenstaedtii,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,CR,4,0.03,0.39,3.124,yes,
Acipenser medirostris,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,NT,1,0,0.39,1.114,yes,
Acipenser nudiventris,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,CR,4,0.02,0.44,3.077,yes,
Acipenser oxyrinchus,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,NT,1,0.03,0.38,1.414,yes,
Acipenser persicus,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,CR,4,0,0.39,2.239,yes,
Acipenser schrenckii,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,CR,4,0.02,0.44,3.047,no,
Acipenser sinensis,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,CR,4,0.02,0.44,3.083,no,
Acipenser stellatus,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,CR,4,0,0.39,2.23,yes,
Acipenser sturio,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,CR,4,0,0.39,2.33,yes,
Acipenser transmontanus,Fish,Actinopterygii,Acipenseriformes,Acipenseridae,LC,0,0.05,0.4,0,yes,
Aetobatus narinari,Shark/ray,Elasmobranchii,Myliobatiformes,Myliobatidae,NT,1,0.1,0.37,1.866,,
Aetobatus ocellatus,Shark/ray,Elasmobranchii,Myliobatiformes,Myliobatidae,VU,2,0.05,0.21,1.698,,
Albatrossia pectoralis,Fish,Actinopterygii,Gadiformes,Macrouridae,NE,2,0.14,0.34,2.941,no,
Alopias pelagicus,Shark/ray,Elasmobranchii,Lamniformes,Alopiidae,VU,2,0.02,0.25,1.439,,
Alopias superciliosus,Shark/ray,Elasmobranchii,Lamniformes,Alopiidae,VU,2,0.02,0.27,1.542,,
Alopias vulpinus,Shark/ray,Elasmobranchii,Lamniformes,Alopiidae,VU,2,0.02,0.27,1.542,,
Aptenodytes forsteri,Bird,Aves,Sphenisciformes,Spheniscidae,NT,1,0.18,0.49,2.505,,
Architeuthis dux,Mollusc,Cephalopoda,Oegopsida,Architeuthidae,LC,0,0.07,0.2,0,no,
Arctocephalus australis,Pinniped,Mammalia,Carnivora,Otariidae,LC,0,0.14,0.48,0,,
Arctocephalus forsteri,Pinniped,Mammalia,Carnivora,Otariidae,LC,0,0.11,0.5,0,,
Arctocephalus galapagoensis,Pinniped,Mammalia,Carnivora,Otariidae,EN,3,0.11,0.47,3.821,,
Arctocephalus gazella,Pinniped,Mammalia,Carnivora,Otariidae,LC,0,0.22,0.61,0,,
Arctocephalus philippii,Pinniped,Mammalia,Carnivora,Otariidae,LC,0,0.09,0.5,0,,
Arctocephalus pusillus,Pinniped,Mammalia,Carnivora,Otariidae,LC,0,0.09,0.39,0,,
Arctocephalus townsendi,Pinniped,Mammalia,Carnivora,Otariidae,LC,0,0.13,0.54,0,,
Arctocephalus tropicalis,Pinniped,Mammalia,Carnivora,Otariidae,LC,0,0.06,0.41,0,,
Argyrosomus coronus,Fish,Actinopterygii,Perciformes,Sciaenidae,NE,1,0.1,0.11,0.801,no,
