species,FUSE_min,FUSE_max,FUSE_mean,FUSE_median,FUSE_sd,FUn_min,FUn_max,FUn_mean,FUn_median,FUn_sd,FSp_min,FSp_max,FSp_mean,FSp_median,FSp_sd,FUSE,FUSE_alt,FUGE,FDGE,FSGE,FUS,FUn_std,FSp_std,FDist_std,FUSE_rank
Acanthocybium solandri,0,0,0,0,0,0,1,0.4057736049977705,0.3757232440529579,0.2374562110134428,0.16887954370466918,0.5439279518132977,0.3072455355149873,0.3080157961130494,0.05906779021241445,0,0,0,0,0,0.4136009044038847,0.07159612104612399,0.34200478335776074,0.1852747488790346,142
Achoerodus gouldii,0.8313677655491841,1.4458858916106585,0.9906811484309118,0.9558132459026292,0.20324716651643016,0.02418371379822258,0.4669949147200181,0.11173873516646828,0.05926006060997011,0.1479300322431564,0.5663093294742596,0.7698715067145904,0.62607843793957485,0.604410889467482,0.06047266124424518,0.4601255401898389,0.45931877929694426,0.00219734971222836,0.29312275559671014,0.4579281904776106,0.29149762423563735,0.00109988282716992,0.2903977414084674,0.17030367369310687,113
Acipenser gueldenstaedtii,0.5691873208472331,2.222726200090948,1.277913176473547,1.188016880782922,0.5403127455795577,0,0.32089251827845855,0.10258590694974994,0.08356560585709452,0.0840335214757512,0.05366554591618323,0.8460399081595105,0.4769308535887051,0.4486048932878605,0.33277797281548377,1.619185284511809,1.3539384848867049,0.401910041787348,1.102520500034106,1.217275242724461,0.7181619749273359,0.1236692170421218,0.5944927578852142,0.5029368937871332,19
Acipenser medirostris,0.8898191577440479,0.9009544272007368,0.8953867924723924,0.8953867924723924,0.00787382454316429,0.25039942887995537,0.25627625453947117,0.2533378417097133,0.2533378417097133,0.00415554327569473,0.9380206447183528,0.9689322363940478,0.9534764405562004,0.9534764405562004,0.0218577960911535,0.4544778107933786,0.4535845934911246,0.00245812107966231,0.4033347742487843,0.4520196897137163,0.5739440350575321,0.00246114473628052,0.5714828903212515,0.4968079005369455,114
Acipenser nudiventris,0.42106961632611273,2.0059656317697536,0.7065425646741751,0.5143349666009566,0.5079565040927747,0,0.16993061952554406,0.01929785038903572,8.678411730964579e-4,0.05648929778808632,0.12957992502007806,0.8563238614086145,0.2593074777164858,0.1681314615783616,0.2338698039297906,1.612532741068771,1.3454196513252568,0.4075688223045438,1.1964161242920943,1.2049639187642274,0.7099493946704452,0.1257897232083538,0.5841596714620914,0.5770598332414028,20
Acipenser oxyrinchus,0.6695015485828725,1.3755152379685864,0.8354490271504363,0.7420162795470868,0.2174368650942099,0,1,0.20687234002615107,0.05010565990156543,0.31511626085691163,0.8580075173242533,1,0.9596173964123718,0.9892787634211266,0.0535861170693968,0.5702122286320535,0.5287585121843732,0.1184601462989853,0.4059779157305235,0.4517520823330682,0.6968244135915624,0.12576200742548208,0.5710624061660804,0.5007694086959996,102
Acipenser persicus,4.993946666811928e-5,0.01132384704672308,0.00880353250595175,0.01101861385081558,0.00447424201733616,0,5.201856793737271e-5,2.0981480499779415e-5,1.930554601014377e-5,2.2855447926827317e-5,1.2485178416003796e-5,0.00284705112448169,0.00219164425901137,0.00273085273148717,0.00112648577996546,1.2179515870257425,1.2099661835442024,0.01141473748154221,1.1025882604741852,1.2065368495442002,0.5883428128752312,0.00287003354732651,0.5854727793279046,0.5029879148509935,50
Acipenser sinensis,1.329719804713068,1.329719804713068,1.329719804713068,1.329719804713068,0,0.04353279586354567,0.04353279586354567,0.04353279586354567,0.04353279586354567,0,0.5548470559996124,0.5548470559996124,0.5548470559996124,0.5548470559996124,0,1.6039097953365742,1.331430896915689,0.4215084599330859,1.1938852749651636,1.1824013354034884,0.6966143858789717,0.1310647765226834,0.5655496093562884,0.5749693159271291,23
Acipenser stellatus,0.5127005672151502,2.9929143096429742,1.4494290557134346,1.146256407226219,0.9461834675168184,0,1,0.3300082529686458,0.24768540170035652,0.2957104703409278,0,0.8647255236580472,0.4015706345116984,0.34808318071681715,0.4168058328392054,1.2126566586742549,1.2062200149737543,0.00921002581771812,1.1007093296515806,1.2034466328565367,0.5852081145984293,0.0023131421529854,0.5828949724454439,0.5015744309837786,52
Acipenser sturio,2.3199267553176033,2.3199267553176033,2.3199267553176033,2.3199267553176033,NA,0.31350095112641885,0.31350095112641885,0.31350095112641885,0.31350095112641885,NA,0.878539468189424,0.878539468189424,0.878539468189424,0.878539468189424,NA,1.2181725538415844,1.1896401582146343,0.04151727043856866,1.0946102891534613,1.1766552834030155,0.5714746477507421,0.01059779106214628,0.5608768566885958,0.4970044983600634,49
