Species,FUSE_sd,FUSE_min,FUSE_mean,FUSE_max,FUn_sd,FUn_min,FUn_mean,FUn_max,FSp_sd,FSp_min,FSp_mean,FSp_max,FDi_sd,FDi_min,FDi_mean,FDi_max
Acanthocybium solandri,0,0,0,0,0.11,0,0.42,0.66,0.04,0.24,0.34,0.42,0.03,0.49,0.57,0.64
Achoerodus gouldii,0.17,0.8,0.96,1.37,0.13,0.07,0.16,0.48,0.01,0.48,0.5,0.53,0.01,0.69,0.71,0.73
Acipenser gueldenstaedtii,0.27,1.5,1.83,2.19,0.06,0.39,0.44,0.57,0.12,0.19,0.33,0.52,0.11,0.44,0.58,0.73
Acipenser medirostris,0.06,0.71,0.75,0.79,0.09,0.27,0.33,0.39,0.01,0.58,0.59,0.59,0,0.8,0.81,0.81
Acipenser nudiventris,0.04,1.16,1.2,1.26,0,0.27,0.27,0.27,0.02,0.14,0.15,0.18,0.02,0.46,0.49,0.5
Acipenser oxyrinchus,0.13,0.63,0.76,1.05,0.17,0.2,0.35,0.71,0.04,0.56,0.61,0.68,0.03,0.76,0.81,0.86
Acipenser persicus,0.03,1.06,1.13,1.14,0,0.27,0.27,0.27,0.01,0.1,0.12,0.13,0.03,0.34,0.38,0.4
Acipenser sinensis,0,1.71,1.71,1.71,0,0.28,0.28,0.28,0,0.4,0.4,0.4,0,0.72,0.72,0.72
Acipenser stellatus,0.46,1.2,1.75,2.35,0.12,0.32,0.48,0.65,0.16,0.1,0.27,0.5,0.16,0.34,0.53,0.73
Acipenser sturio,NA,2.17,2.17,2.17,NA,0.43,0.43,0.43,NA,0.55,0.55,0.55,NA,0.76,0.76,0.76
Acipenser transmontanus,0,0,0,0,0.11,0.27,0.43,0.52,0.01,0.53,0.54,0.55,0.01,0.81,0.82,0.82
Aetobatus narinari,0.1,0.37,0.62,0.9,0.13,0,0.27,0.67,0.02,0.43,0.47,0.54,0.02,0.71,0.75,0.81
Aetobatus ocellatus,0.19,0.38,0.8,1.16,0.14,0,0.24,0.57,0.02,0.21,0.26,0.33,0.02,0.56,0.61,0.66
Aetomylaeus bovinus,NA,Inf,NA,-Inf,0.17,0,0.32,0.65,0.01,0.23,0.24,0.27,0.01,0.57,0.61,0.63
Albatrossia pectoralis,NA,Inf,NA,-Inf,0.05,0.38,0.39,0.56,0.01,0.25,0.26,0.28,0,0.59,0.59,0.6
Alopias pelagicus,0.16,0.4,0.9,1.24,0.12,0,0.24,0.57,0.03,0.25,0.34,0.41,0.03,0.47,0.57,0.63
Alopias superciliosus,0.14,0.44,0.88,1.34,0.1,0,0.24,0.67,0.02,0.27,0.32,0.38,0.01,0.54,0.6,0.64
Alopias vulpinus,0.19,0.45,0.96,1.44,0.13,0,0.29,0.72,0.04,0.27,0.34,0.48,0.03,0.54,0.62,0.72
Aptenodytes forsteri,0.01,0.74,0.81,0.85,0.01,0.45,0.63,0.63,0.02,0.33,0.38,0.47,0.01,0.72,0.74,0.76
Architeuthis dux,0,0,0,0,0.24,0,0.44,0.78,0.09,0.23,0.36,0.51,0.09,0.47,0.61,0.74
Arctocephalus australis,0,0,0,0,0.08,0.13,0.31,0.42,0.03,0.45,0.49,0.54,0.01,0.77,0.78,0.81
Arctocephalus forsteri,0,0,0,0,0.1,0.13,0.35,0.54,0.03,0.47,0.55,0.6,0.01,0.74,0.78,0.81
Arctocephalus galapagoensis,0,1.45,1.45,1.45,0,0.22,0.22,0.22,0,0.53,0.53,0.53,0,0.78,0.78,0.78
Arctocephalus gazella,0,0,0,0,0.08,0.23,0.34,0.58,0.05,0.29,0.39,0.46,0.03,0.7,0.75,0.8
Arctocephalus philippii,0,0,0,0,0.12,0.13,0.28,0.44,0.02,0.5,0.54,0.59,0.01,0.75,0.78,0.8
Arctocephalus pusillus,0,0,0,0,0.11,0,0.28,0.42,0.01,0.45,0.46,0.49,0.01,0.77,0.78,0.8
Arctocephalus townsendi,0,0,0,0,0.12,0.07,0.23,0.33,0.01,0.55,0.57,0.59,0.01,0.78,0.79,0.8
Arctocephalus tropicalis,0,0,0,0,0.09,0.13,0.33,0.56,0.02,0.34,0.42,0.47,0.01,0.71,0.76,0.78
Argyrosomus coronus,NA,Inf,NA,-Inf,0.05,0.27,0.36,0.38,0.01,0.22,0.22,0.23,0,0.64,0.65,0.65
Argyrosomus hololepidotus,0.36,0.96,1.2,1.67,0.17,0,0.11,0.33,0.01,0.54,0.55,0.56,0,0.77,0.77,0.78
Argyrosomus japonicus,NA,Inf,NA,-Inf,0.12,0.09,0.38,0.56,0.03,0.26,0.29,0.35,0.02,0.54,0.58,0.62
Argyrosomus regius,0,0,0,0,0.19,0,0.34,0.66,0.04,0.23,0.28,0.37,0.04,0.51,0.58,0.66
Bahaba taipingensis,0.58,0.82,1.35,1.97,0.27,0,0.23,0.53,0.01,0.32,0.32,0.33,0.01,0.71,0.71,0.73
Balaena mysticetus,0,0,0,0,0.12,0.32,0.52,0.78,0.04,0.36,0.43,0.53,0.04,0.65,0.73,0.81
Balaenoptera acutorostrata,0,0,0,0,0.15,0,0.34,0.7,0.02,0.35,0.42,0.55,0.02,0.63,0.69,0.83
Balaenoptera bonaerensis,0.11,0.27,0.54,0.78,0.15,0,0.34,0.68,0.04,0.22,0.29,0.4,0.04,0.53,0.62,0.71
Balaenoptera borealis,0.24,0.67,1.26,1.82,0.15,0,0.3,0.73,0.04,0.22,0.31,0.41,0.04,0.53,0.64,0.72
Balaenoptera edeni,0,0,0,0,0.15,0,0.28,0.65,0.03,0.3,0.4,0.46,0.03,0.61,0.69,0.73
Balaenoptera musculus,0.24,0.68,1.36,2,0.15,0,0.34,0.83,0.04,0.25,0.33,0.43,0.04,0.61,0.72,0.84
Balaenoptera physalus,0.16,0.52,1.01,1.46,0.15,0,0.35,0.67,0.06,0.19,0.32,0.47,0.04,0.63,0.71,0.81
Bathytoshia centroura,0,0,0,0,0.16,0,0.28,0.56,0.03,0.28,0.33,0.42,0.02,0.52,0.57,0.62
