species;synonym.1
Acanthocybium solandri;
Achoerodus gouldii;
Acipenser baerii;
Acipenser fulvescens;
Acipenser gueldenstaedtii;
Acipenser medirostris;
Acipenser nudiventris;
Acipenser oxyrinchus;
Acipenser persicus;
Acipenser schrenckii;
Acipenser sinensis;
Acipenser stellatus;
Acipenser sturio;
Acipenser transmontanus;
Aetobatus narinari;
Aetobatus ocellatus;
Albatrossia pectoralis;
Alopias pelagicus;
Alopias superciliosus;
Alopias vulpinus;
Aptenodytes forsteri;
Architeuthis dux;
Arctocephalus australis;
Arctocephalus forsteri;
Arctocephalus galapagoensis;
Arctocephalus gazella;
Arctocephalus philippii;
Arctocephalus pusillus;
Arctocephalus townsendi;
Arctocephalus tropicalis;
Argyrosomus coronus;
Argyrosomus hololepidotus;
Argyrosomus japonicus;
Argyrosomus regius;
Arius gigas;
Atractosteus spatula;
Bahaba taipingensis;
Balaena mysticetus;
Balaenoptera acutorostrata;
Balaenoptera bonaerensis;
Balaenoptera borealis;
Balaenoptera edeni;
Balaenoptera musculus;
Balaenoptera physalus;
Berardius arnuxii;
Berardius bairdii;
Bolbometopon muricatum;
Brachyplatystoma filamentosum;
Callorhinus ursinus;
Caperea marginata;
Caranx ignobilis;
Carcharhinus albimarginatus;
Carcharhinus altimus;
Carcharhinus brachyurus;
Carcharhinus brevipinna;
Carcharhinus falciformis;
Carcharhinus galapagensis;
Carcharhinus leucas;
Carcharhinus limbatus;
Carcharhinus longimanus;
Carcharhinus obscurus;
Carcharhinus perezi;Carcharhinus perezii
Carcharhinus plumbeus;
Carcharhinus signatus;
Carcharhinus tilstoni;
Carcharias taurus;
Carcharodon carcharias;
Caretta caretta;
Centrolophus niger;
Cephalorhynchus commersonii;
Cephalorhynchus eutropia;
Cephalorhynchus heavisidii;
Cephalorhynchus hectori;
Cetorhinus maximus;
Cheilinus undulatus;
Chelonia mydas;
Clarias macrocephalus;
Conger conger;
Conger myriaster;Conger japonicus
Cystophora cristata;
Hypanus americanus;Dasyatis americana
Hypanus dipterurus;Dasyatis brevis
Bathytoshia centroura;Dasyatis centroura
Bathytoshia lata;Dasyatis thetidis 
Delphinapterus leucas;
Delphinus capensis;
Delphinus delphis;
Dermochelys coriacea;
Dipturus batis;
Dissostichus mawsoni;
Dosidicus gigas;
Dugong dugon;
Elagatis bipinnulata;
Eleutheronema tetradactylum;
Enhydra lutris;
Enteroctopus dofleini;
Epinephelus chabaudi;
Epinephelus daemelii;
Epinephelus goreensis;
Epinephelus itajara;
Epinephelus lanceolatus;
Epinephelus latifasciatus;
Epinephelus magniscuttis;
Epinephelus malabaricus;
Epinephelus marginatus;
Epinephelus tukula;
Eretmochelys imbricata;
Erignathus barbatus;
Erilepis zonifer;
Eschrichtius robustus;
Eubalaena australis;
Eubalaena glacialis;
